chrom	length	bases	mean	min	max
scaffold_1	2175785	31823595	14.63	0	84
scaffold_1_region	2175785	31823595	14.63	0	84
scaffold_2	1611863	23488465	14.57	0	102
scaffold_2_region	1611863	23488465	14.57	0	102
scaffold_3	1471132	22429119	15.25	0	319
scaffold_3_region	1471132	22429119	15.25	0	319
scaffold_4	1468900	21661017	14.75	0	201
scaffold_4_region	1468900	21661017	14.75	0	201
scaffold_5	1396382	20060532	14.37	0	132
scaffold_5_region	1396382	20060532	14.37	0	132
scaffold_6	1286126	19202808	14.93	0	5417
scaffold_6_region	1286126	19202808	14.93	0	5417
scaffold_7	1265705	18427757	14.56	0	133
scaffold_7_region	1265705	18427757	14.56	0	133
scaffold_8	1247722	17815245	14.28	0	68
scaffold_8_region	1247722	17815245	14.28	0	68
scaffold_9	1034445	15006647	14.51	0	72
scaffold_9_region	1034445	15006647	14.51	0	72
scaffold_10	987275	14967816	15.16	0	92
scaffold_10_region	987275	14967816	15.16	0	92
scaffold_11	955579	14359557	15.03	0	635
scaffold_11_region	955579	14359557	15.03	0	635
scaffold_12	827188	12707250	15.36	0	56
scaffold_12_region	827188	12707250	15.36	0	56
scaffold_13	811507	12069155	14.87	0	81
scaffold_13_region	811507	12069155	14.87	0	81
scaffold_14	764887	11297385	14.77	0	172
scaffold_14_region	764887	11297385	14.77	0	172
scaffold_15	699649	10282315	14.70	0	71
scaffold_15_region	699649	10282315	14.70	0	71
scaffold_16	665637	17858305	26.83	0	370
scaffold_16_region	665637	17858305	26.83	0	370
scaffold_17	654850	9524760	14.54	0	61
scaffold_17_region	654850	9524760	14.54	0	61
scaffold_18	642743	9567789	14.89	0	1428
scaffold_18_region	642743	9567789	14.89	0	1428
scaffold_19	278999	3982947	14.28	0	47
scaffold_19_region	278999	3982947	14.28	0	47
scaffold_20	105456	7281347	69.05	0	236
scaffold_20_region	105456	7281347	69.05	0	236
scaffold_21	87937	51449470	585.07	0	1090
scaffold_21_region	87937	51449470	585.07	0	1090
scaffold_22	56127	5010386	89.27	0	234
scaffold_22_region	56127	5010386	89.27	0	234
scaffold_23	53108	5236022	98.59	0	1227
scaffold_23_region	53108	5236022	98.59	0	1227
total	20549002	375509689	18.27	0	5417
total_region	20549002	375509689	18.27	0	5417
